Sucrose concentration in %,RI,Fiber sensing region (cm) ,Chitosan Wt(gm),LED color,Output Intensity 
0,1.33,1,1,Red,147
5,1.34,1,1,Red,144
10,1.35,1,1,Red,140
15,1.36,1,1,Red,138
20,1.37,1,1,Red,134
25,1.38,1,1,Red,131
30,1.39,1,1,Red,129
35,1.4,1,1,Red,126
40,1.41,1,1,Red,124
45,1.42,1,1,Red,121
0,1.33,1,1,Orange,151
5,1.34,1,1,Orange,149
10,1.35,1,1,Orange,145
15,1.36,1,1,Orange,143
20,1.37,1,1,Orange,141
25,1.38,1,1,Orange,139
30,1.39,1,1,Orange,137
35,1.4,1,1,Orange,135
40,1.41,1,1,Orange,133
45,1.42,1,1,Orange,131
0,1.33,1,1,Blue,158
5,1.34,1,1,Blue,155
10,1.35,1,1,Blue,151
15,1.36,1,1,Blue,149
20,1.37,1,1,Blue,146
25,1.38,1,1,Blue,144
30,1.39,1,1,Blue,141
35,1.4,1,1,Blue,139
40,1.41,1,1,Blue,138
45,1.42,1,1,Blue,137
0,1.33,1,2,Red,140
5,1.34,1,2,Red,139
10,1.35,1,2,Red,137
15,1.36,1,2,Red,131
20,1.37,1,2,Red,129
25,1.38,1,2,Red,127
30,1.39,1,2,Red,125
35,1.4,1,2,Red,121
40,1.41,1,2,Red,117
45,1.42,1,2,Red,115
0,1.33,1,2,Orange,153
5,1.34,1,2,Orange,152
10,1.35,1,2,Orange,149
15,1.36,1,2,Orange,145
20,1.37,1,2,Orange,142
25,1.38,1,2,Orange,138
30,1.39,1,2,Orange,136
35,1.4,1,2,Orange,133
40,1.41,1,2,Orange,129
45,1.42,1,2,Orange,125
0,1.33,1,2,Blue,161
5,1.34,1,2,Blue,159
10,1.35,1,2,Blue,157
15,1.36,1,2,Blue,153
20,1.37,1,2,Blue,147
25,1.38,1,2,Blue,143
30,1.39,1,2,Blue,140
35,1.4,1,2,Blue,137
40,1.41,1,2,Blue,134
45,1.42,1,2,Blue,128
0,1.33,2.5,1,Red,172
5,1.34,2.5,1,Red,169
10,1.35,2.5,1,Red,165
15,1.36,2.5,1,Red,160
20,1.37,2.5,1,Red,156
25,1.38,2.5,1,Red,153
30,1.39,2.5,1,Red,150
35,1.4,2.5,1,Red,148
40,1.41,2.5,1,Red,144
45,1.42,2.5,1,Red,141
0,1.33,2.5,1,Orange,143
5,1.34,2.5,1,Orange,142
10,1.35,2.5,1,Orange,139
15,1.36,2.5,1,Orange,135
20,1.37,2.5,1,Orange,132
25,1.38,2.5,1,Orange,128
30,1.39,2.5,1,Orange,126
35,1.4,2.5,1,Orange,123
40,1.41,2.5,1,Orange,121
45,1.42,2.5,1,Orange,119
0,1.33,2.5,1,Blue,150
5,1.34,2.5,1,Blue,145
10,1.35,2.5,1,Blue,145
15,1.36,2.5,1,Blue,143
20,1.37,2.5,1,Blue,140
25,1.38,2.5,1,Blue,139
30,1.39,2.5,1,Blue,135
35,1.4,2.5,1,Blue,130
40,1.41,2.5,1,Blue,127
45,1.42,2.5,1,Blue,125
0,1.33,2.5,2,Red,154
5,1.34,2.5,2,Red,151
10,1.35,2.5,2,Red,145
15,1.36,2.5,2,Red,139
20,1.37,2.5,2,Red,130
25,1.38,2.5,2,Red,124
30,1.39,2.5,2,Red,117
35,1.4,2.5,2,Red,114
40,1.41,2.5,2,Red,113
45,1.42,2.5,2,Red,112
0,1.33,2.5,2,Orange,161
5,1.34,2.5,2,Orange,159
10,1.35,2.5,2,Orange,157
15,1.36,2.5,2,Orange,153
20,1.37,2.5,2,Orange,147
25,1.38,2.5,2,Orange,143
30,1.39,2.5,2,Orange,140
35,1.4,2.5,2,Orange,137
40,1.41,2.5,2,Orange,133
45,1.42,2.5,2,Orange,129
0,1.33,2.5,2,Blue,166
5,1.34,2.5,2,Blue,158
10,1.35,2.5,2,Blue,152
15,1.36,2.5,2,Blue,143
20,1.37,2.5,2,Blue,133
25,1.38,2.5,2,Blue,125
30,1.39,2.5,2,Blue,121
35,1.4,2.5,2,Blue,118
40,1.41,2.5,2,Blue,117
45,1.42,2.5,2,Blue,115
